noise,k,c2st_auc,similarity_pct,real_test_auprc,real_test_ci_width,synthetic_test_auprc,synthetic_test_ci_width,n_train_subjects,n_synthetic_subjects
0.05,10,1.0,0.0,0.41276572723956395,0.658733408693068,1.0,4.440892098500626e-16,74,666
0.0,1,0.5,100.0,0.5381150819614482,0.5383798385307967,0.5381150819614482,0.5383798385307967,75,0
0.0,3,0.4574704235792102,100.0,0.5279866462248161,0.5790072949472376,1.0,4.440892098500626e-16,75,150
0.0,10,0.3794161881323489,100.0,0.5282992059758439,0.5396446941460542,1.0,4.440892098500626e-16,75,675
0.005,1,0.5,100.0,0.5381150819614482,0.5383798385307967,0.5381150819614482,0.5383798385307967,75,0
0.005,3,0.9999960984745034,0.0007803050993127059,0.5086091649273878,0.546240309952924,0.9999999999999999,4.440892098500626e-16,75,150
0.005,10,1.0,0.0,0.5327727443647547,0.5472600593080745,0.9999999999999998,4.440892098500626e-16,75,675
0.01,1,0.5,100.0,0.5381150819614482,0.5383798385307967,0.5381150819614482,0.5383798385307967,75,0
0.01,3,1.0,0.0,0.5661235011391255,0.5636083417708884,1.0,4.440892098500626e-16,75,150
0.01,10,1.0,0.0,0.4986588837405641,0.559884539680813,0.9999999999999999,4.440892098500626e-16,75,675
0.025,1,0.5,100.0,0.5381150819614482,0.5383798385307967,0.5381150819614482,0.5383798385307967,75,0
0.025,3,0.9999999999999999,2.220446049250313e-14,0.5696018968528197,0.6171293923509371,1.0,4.440892098500626e-16,75,150
0.025,10,0.9999882961541163,0.002340769176734092,0.539790009154833,0.5798248240913884,1.0,4.440892098500626e-16,75,675
0.05,1,0.5,100.0,0.5381150819614482,0.5383798385307967,0.5381150819614482,0.5383798385307967,75,0
0.05,3,1.0,0.0,0.5190541876059159,0.6209763861350261,0.9995797142056602,0.0014910267331660343,75,150
0.05,10,1.0,0.0,0.5748504242526845,0.6665474056549565,1.0,4.440892098500626e-16,75,675
